	target_text
12878	What is generalization neural network
12879	What is meant by model generalization
12880	What do AIC and BIC mean
12881	What is AIC in statistics
12882	What is AIC and BIC in machine learning
12883	What does BIC mean in statistics
12884	What is clustering used for in machine learning
12885	What are the characteristics of a binomial experiment
12886	What is Max pooling used for
12887	What is covariance and correlation in statistics
12888	How do you find covariance in statistics
12889	What is inference engine in artificial intelligence
12890	Why is expert system needed
12891	What level of statistics is needed for data science
12892	How statistics is used in data science
12893	What is the best regression algorithm
12894	How do you find the maximum likelihood
12895	What is maximum likelihood classification
12896	What is the difference between discriminant analysis and logistic regression
12897	What is the use of discriminant analysis
12898	What is Anova and its uses
12899	What is the basic principle of Anova
12900	Is GLM linear
12901	What causes bias in statistics
12902	How do you remove sample bias
12903	How is statistics used in anthropology
12904	How can we reduce learning rate
12905	What are the limitations of intelligence
12906	Is it safe to assume that the sampling distribution
12907	Why is it important for a sampling distribution to be normal
12908	Why do we use exploratory factor analysis
12909	What are the main objectives of factor analysis
12910	What are advancements in artificial intelligence
12911	What is vector model in information retrieval
12912	What is a vector model
12913	What is the meaning of vector space
12914	What type of model is used for text retrieval
12915	How many types of image segmentation are there
12916	What do you mean by image segmentation
12917	What is the need of image segmentation
12918	What is image segmentation in Matlab
12919	Is sample variance the same as standard deviation
12920	What is the meaning of sample variance
12921	What is central tendency in statistics
12922	How do you find the central value
12923	How does NLP work in machine learning
12924	Why is probability sampling not applicable to qualitative research
12925	Why is non probability sampling used
12926	Why are probability sampling methods important for qualitative research
12927	How do I encrypt a message with RSA
12928	What is a mode interval
12929	How do I calculate the mode
12930	When was AI first invented
12931	How do you find the simple matching coefficient
12932	What is segmentation in machine learning
12933	Why segmentation is important in image processing
12934	What is a segmentation mask
12935	Which are the ensemble techniques
12936	Is K means an ensemble method
12937	What is the purpose of a paired t test
12938	Which of the following is a good example of when we would use a paired t test
12939	What are the advantages of dimensionality reduction
12940	What's the difference between random forest and gradient boosting
12941	How does random forest reduce variance
12942	Why is batch normalization used
12943	What is jackknife regression
12944	What is the best measure of spread for a skewed distribution
12945	How do you deal with a skewed distribution
12946	What is padding in CNN
12947	How does CNN calculate number of filters
12948	How do you change a target variable
12949	Do we need to scale target variable
12950	What is hidden option in Task Scheduler
12951	What does 0x2 mean in Task Scheduler
12952	Why do we have to identify the variables
12953	How do you find the saddle point of a matrix
12954	What is saddle point example
12955	How many saddle points can a matrix have
12956	How do you calculate cluster accuracy
12957	What is true about K means clustering
12958	What does a density plot tell you
12959	How do you graph probability density function
12960	What is significance level in regression
12961	What does it mean if a variable is statistically significant
12962	What is the difference between actual and formal parameter explain with example
12963	How do you find the probability of a probability distribution
12964	What is a discriminative classifier
12965	Why do we use Fourier analysis
12966	What is the Fourier series used for
12967	How does Fourier analysis work
12968	How do you solve conditional probability
12969	What is conditional problem solving explain with an example
12970	How do you solve PA and B
12971	What is bivariate and multivariate
12972	What is Scikit used for
12973	What does Scikit stand for
12974	What is Scikit in Python
12975	How is the efficient frontier determined
12976	What does it mean if a variable is continuous
12977	How do you compare two continuous variables in SPSS
12978	How is the Z test different from Z score analysis Course Hero
12979	What is the difference between z score and z value
12980	What is the use of kurtosis
12981	What does the kurtosis value tell us
12982	How do classifiers work
12983	What is the difference between term frequency and TF IDF
12984	What is a precision recall curve
12985	What is intelligence quizlet
12986	What is the difference between feedforward neural network and backpropagation
12987	What is the importance of scatter plot
12988	What is the role of scatter diagram in the theory of regression
12989	What is scatter plot in regression
12990	How is the shape of the F distribution affected by the degrees of freedom
12991	What is K means in data mining
12992	Why is the normal distribution not a good model
12993	Under what circumstances is the distribution of sample means not normal
12994	When was random forest invented
12995	Why is backward chaining used for diagnostic problems
12996	What is the difference between sample mean and population mean called
12997	What describes an Autoassociative network
12998	What is auto associative network in AI
12999	Is there any error in linear Autoassociative networks
13000	What are predicted values in regression
13001	Why do we use the linear regression equation when predicting
13002	Can you correlate categorical variables
13003	How do you convert categorical variables to continuous variables
13004	What are the principles of simple random sampling
13005	What is Delta Rule explain
13006	For which of the following cases could you use logistic regression
13007	What are the statistical tools used in testing hypothesis
13008	What are statistical tests used for
13009	What is the purpose of hypothesis testing using statistics
13010	What is the test statistic used in the hypothesis test for the difference between the two population means
13011	What is simple linear regression and why is it useful
13012	What do we mean when we say that a simple regression model is statistically useful
13013	Why is linear regression useful
13014	How does sample size affect a study
13015	How does sample size affect the size of the standard error for the sample mean difference
13016	How does small sample size effect results
13017	What is the normal curve used for
13018	How do you tell if a curve is normally distributed
13019	How do you use clustering
13020	What is oof in machine learning
13021	What is multiple regression used for
13022	What is multi target regression
13023	What is multiple regression in machine learning
13024	Is multiple regression linear
13025	Are support vector machines machine learning
13026	What is a vector in neural network
13027	What is reconstruction error in Autoencoder
13028	Who invented Autoencoders
13029	Is AI or big data better
13030	Is Big Data a part of artificial intelligence
13031	What is the logistics growth model
13032	What is logistic population growth
13033	What is an assumption of the logistic model of population growth
13034	What is the equation for population growth
13035	How do you use control variables
13036	What is Tokenize in NLP
13037	What does unbiased mean
13038	What is data analysis in simple words
13039	What is data analysis with example
13040	What are the types of data analysis
13041	Why is data analysis important
13042	Why are errors normally distributed
13043	Why is it important for residuals to be normally distributed
13044	How do you find a simple random sample
13045	Why do we use simple random sampling
13046	What is the difference between simple random and systematic sampling
13047	What is the difference between binomial distribution and geometric distribution
13048	What is the difference between CNN and DNN
13049	Why is the likelihood function not a probability
13050	How do you find the cumulative probability distribution
13051	How do you test for Multicollinearity in logistic regression SPSS
13052	How does logistic regression handle Multicollinearity
13053	How do you handle Multicollinearity in logistic regression in R
13054	What do you mean by decision analysis
13055	What is tabular reinforcement learning
13056	Which type of learning approaches the Q learning algorithm
13057	What does the T critical value mean
13058	How do you calculate model lift
13059	What are the topics in data structures and algorithms
13060	What is the goal of regression
13061	What is correlation in simple words
13062	What is the definition of correlational
13063	What does weighted mean difference mean
13064	Is the mean difference the effect size
13065	What is Bandit testing
13066	How does Thompson sampling work
13067	How is ACF calculated
13068	How do you calculate cross correlation
13069	How do you determine your learning rate
13070	Why are convolutions useful for images
13071	How many convolutions are there
13072	What are the applications of supervised machine learning
13073	How can machine learning be improved
13074	What is model tuning in machine learning
13075	How do you develop a model in machine learning
13076	What is the difference between probability and probability density function
13077	How is Bayesian statistics different
13078	Is Bayesian statistics machine learning
13079	How hard is Bayesian statistics
13080	How do you determine if there is an outlier
13081	What is an outlier in a data set
13082	Which of the following fill algorithm is used for filling with different type of colors
13083	What is the meaning of statistics and probability
13084	What is entropy of an information source
13085	What is data entropy
13086	What is mean and standard deviation
13087	How do you know if data is independent
13088	Is a random variable independent of itself
13089	What does it mean for two variables to be independent
13090	What does higher entropy mean
13091	What is an example of high entropy
13092	How do you know which substance has higher entropy
13093	What is a tag in Python
13094	What are the applications of linear algebra in real life
13095	What are the application of linear algebra in computer science
13096	What are the applications of linear equations
13097	What are typical applications of matrices
13098	Can we use regression for classification
13099	What are the conditions for using the normal approximation for a sampling distribution of proportions
13100	What is the difference between chi square and t test
13101	How does a classification tree work
13102	How do you read a decision tree
13103	What is a modified Boxplot
13104	What is the difference between a Boxplot and a modified Boxplot
13105	How do you read a modified box plot
13106	When would you use a box plot
13107	What does it mean if your model has Overfit the data
13108	Is Z test better than t test
13109	Why are t tests more variable than Z tests
13110	How do you identify a hypergeometric distribution
13111	How does a Canny edge detector work
13112	Why is Canny edge detected
13113	How do you explain Poisson distribution
13114	What is Poisson distribution explain the characteristics and formula for Poisson distribution
13115	What is lambda in a Poisson distribution
13116	What type of variables are used in logistic regression
13117	What is multicollinearity problem in regression
13118	What is naive Bayes in data mining
13119	What is Bayesian classifier in data mining
13120	How do you test the relationship between variables
13121	Which statistical methods are used to find measures of relationship
13122	What type of research provides a statistical analysis of the relationships among variables
13123	What is the difference between nominal and ordinal levels of measurement
13124	What is the difference between data measured on an interval scale and data measured on a ratio scale
13125	What is the difference between ordinal and interval data
13126	Why is it important to understand the different levels of measurement
13127	What is the difference between Y and Y hat
13128	Is Huber loss differentiable
13129	How do you explain conditional probability
13130	What is the law of averages mean
13131	What is belief network in artificial intelligence
13132	What is feature engineering for machine learning
13133	When can you use Z test
13134	What is Markov model in data compression
13135	Why do you mean by classification
13136	What is smoothing of data
13137	What is smoothing of image
13138	What is smoothing in machine learning
13139	What does value mean in decision tree
13140	What is expected value in decision tree
13141	What is the value of a chance node in a decision tree
13142	What is reasoning and types
13143	What is reasoning in machine learning
13144	What is Knowledge Representation and Reasoning in AI
13145	How can participant bias affect the outcome of a study
13146	How can Investigator effects be reduced
13147	How do you do sampling
13148	How do you sample a multivariate normal distribution
13149	What is the difference between R and r2
13150	What is the meaning of cross sectional analysis
13151	Is squared error loss convex
13152	What is SGD in Python
13153	What are the advantages of using mean in statistics
13154	What resolution is 48MP
13155	How is weighted mean score calculated
13156	How do you calculate weights
13157	Why is SVD useful
13158	Can SVD be used for dimensionality reduction of non linear data
13159	Which of the following is an example of quota sampling
13160	Where is quota
13161	Is quota sampling purposive
13162	What is WordNet in NLP
13163	How do you create a WordNet
13164	Is normal distribution a probability distribution
13165	How are probabilities involving the normal distribution computed
13166	How is the normal distribution related to t distributions
13167	Which is true about test retest reliability
13168	What is acceptable test retest reliability
13169	What does test retest reliability really indicate
13170	What is a true mean in statistics
13171	What is the mean of the sample means equal to
13172	What is the set of all possible outcomes of a probability experiment called
13173	What is possible outcome in probability
13174	When would you use analysis of variance
13175	Is Root MSE the standard deviation
13176	How do you find the root mean square standard deviation
13177	What is root mean square in statistics
13178	How much data do you need to train a model
13179	Is the median the same as the second quartile
13180	What does the second quartile represent
13181	What are neurons in a neural network
13182	Is time a categorical variable
13183	How do you find the median of a continuous distribution
13184	How do you find the precise median of a continuous variable
13185	How do you find the median on a cumulative frequency table
13186	What is the formula to find the median of the data
13187	Who introduced artificial intelligence
13188	When was Artificial Intelligence AI born
13189	What causes sampling error
13190	How can sampling errors be prevented
13191	Can statistics be used as evidence
13192	Who said you can prove anything with statistics
13193	What can statistics be used for
13194	Why is the pooling layer used in a convolutional neural network
13195	What is the classification error
13196	How is machine learning accuracy calculated
13197	How do you measure the accuracy of a ML model
13198	How do you find the accuracy of a model
13199	How do you calculate principal components in R
13200	How do you conduct a principal component analysis
13201	How do I check social media analytics
13202	Is there a tool that does it all social analytics )
13203	What we can do for social media analytics
13204	What is a social media analytics tool
13205	What is batch normalization Tensorflow
13206	What is the Predict function in R
13207	How do you predict probabilities in R
13208	What does sparse coding of nerve impulses imply
13209	What is the other name of regularization in linear regression
13210	Why is maximizing likelihood equivalent to maximizing the log likelihood
13211	What is sample space and event
13212	What is the difference between Word2Vec and doc2vec
13213	What does the t test tell you
13214	What does LSI keywords mean
13215	How do I find LSI keywords
13216	What is the definition of normal distribution in statistics
13217	What is a normal distribution used for
13218	What are the disadvantages of the linear regression model
13219	What is lambda in exponential distribution
13220	How do you find the parameter of an exponential distribution
13221	Is machine learning neural networks
13222	What is TensorFlow built on
13223	What is multiple imputation method
13224	What TensorFlow 2
13225	How do machine learning algorithms compare
13226	How do you compare two algorithms
13227	How do you find the exact probability
13228	What determines the exact shape of a normal distribution curve
13229	Is predictive analytics part of AI
13230	What is predictive AI
13231	What are the three types of normal distribution
13232	What is the difference between normal distribution and Poisson distribution
13233	What is feature matrix
13234	What is a feature space in machine learning
13235	How do I optimize meta description
13236	What is K in clustering
13237	What is the assumption made in naive Bayes algorithm
13238	Which assumption makes the naïve Bayesian classifier different from the general Bayesian model
13239	What is the naive assumption in a naive Bayes classifier Mcq
13240	Why a naive Bayes classifier is with the assumption of independence between the features
13241	What are the limitations of the semantic networks
13242	What is MU in normal distribution
13243	What does μ represent in the Z score formula
13244	What are the mean μ and variance σ2 of the standard normal random variable
13245	What is the difference between a class boundary and a class limit quizlet
13246	How do you identify the class boundaries
13247	What do you mean by parametric test
13248	What is vector and vector space
13249	What is difference between vector space and field
13250	What defines a vector space
13251	What is offset in linear regression
13252	What is offset variable in Stata
13253	How many laws of probability are there
13254	How do you tell if a integral converges or diverges
13255	How do you find the sum of squared residuals
13256	How do you find the sum of residuals
13257	How is sum of squares calculated
13258	How do you find the mean square of residuals
13259	What is the main difference between a T test and an Anova
13260	What is social engineering in hacking
13261	Why is zero initialization not recommended for weight initialization
13262	Where do we use standard deviation
13263	Is RMS equal to standard deviation
13264	What does RMS mean in statistics
13265	What does RMS deviation mean
13266	What is the difference between random and stratified sampling
13267	What is the difference between a random sample and simple random sample
13268	What is sampling discuss random and stratified types of sampling
13269	What is stratified sampling quizlet
13270	What is convolution integral and where do we use it
13271	What are the properties of convolution integral
13272	What is convolution in Laplace transforms
13273	What is Thorndike's theory of learning
13274	How do Skinner and Thorndike describe learning
13275	What is F test used for
13276	Why do residuals need to be normally distributed
13277	What is not hierarchical clustering
13278	How do you do a kappa statistic in SPSS
13279	How do you calculate Intercoder reliability in SPSS
13280	How do you write a decision tree example
13281	What is embedding machine learning
13282	What is the difference between a frequency table and a contingency table
13283	What is the truth value of P ∨ Q
13284	What does Q mean in logic
13285	What is the inverse of P → Q
13286	Where do we use expert systems
13287	What is an embedding vector
13288	What is analytics and why it is used
13289	What is residual deviance in GLM
13290	What is the function to get both eigenvalues and eigenvectors of a matrix select one
13291	What is the function of eigenvalues and eigenvectors
13292	Can an eigenvalue have two eigenvectors
13293	What are the causes of sampling error
13294	What determines sampling error
13295	What are the problems with sampling
13296	What is sampling error based on
13297	In which learning Markov process concept is used
13298	What is discount factor in MDP
13299	Why is deep learning called deep learning
13300	What is decision function in SVM
13301	How are t test and F test related
13302	What is difference between t test and Anova
13303	What are parameters of a distribution
13304	What is lognormal distribution used for
13305	What is a Cauchy random variable
13306	How the inferential statistics helps to make decisions out of it
13307	How does statistics help in decision making
13308	What is the most useful distribution in inferential statistics
13309	How do you calculate similarities
13310	How do you calculate similarity score
13311	Does standard error increase with confidence interval
13312	How does Standard Deviation affect confidence interval
13313	What is the relationship between confidence interval and margin of error
13314	How do you create an association rule
13315	What does Central Limit Theorem tell us about the sampling distribution of the sample mean
13316	How do you use machine learning for sentiment analysis
13317	How do you evaluate attention
13318	What is attention and concentration
13319	What are attention skills
13320	What means glove
13321	What are the uses of gloves
13322	What is interval data
13323	What is interval data examples
13324	What is interval ratio in statistics
13325	Which is controlled by a positive feedback loop
13326	Is positive feedback controlled by the hypothalamus
13327	What is positive feedback regulation give an example
13328	What is the null hypothesis of F test
13329	What is the null hypothesis of Levene's equality of variances hypothesis test
13330	What is the null hypothesis for an analysis of variance
13331	How do you choose membership function in fuzzy logic
13332	What is the meaning of T value in regression analysis
13333	What does a correlation matrix tell you
13334	How do you interpret a correlation chart
13335	What does a correlation of 0.85 mean
13336	What does a correlation of 0.48 mean
13337	What is a hidden unit in neural network
13338	How many hidden units are there
13339	What does hidden layer do
13340	What is spark ML
13341	What is MLlib
13342	What are the different components of spark
13343	Is Bayesian a maximum likelihood estimation
13344	What's the difference between MLE and MAP inference
13345	What is Bayesian parameter estimation
13346	What is the difference between t test and Z test
13347	What is the purpose of the t statistic
13348	How do you Analyse a discrete choice experiment
13349	What is discrete choice analysis
13350	What is the formula for calculating sample size
13351	What are the methods of determining sample size
13352	How do you calculate deep learning mAP
13353	What type of error would be considered a false positive
13354	What is the basis of the Fourier transform
13355	Why do we use Fourier transformation
13356	Do you need to standardize data for random forest
13357	What do you understand by unsupervised learning
13358	Why is it important to data classification
13359	What type of data is count data
13360	What is count data in regression
13361	What does count data mean
13362	Is count data normally distributed
13363	What do you understand by Fourier series
13364	How do you use Fourier series
13365	What are the 2 types of Fourier series
13366	What does R Squared mean in statistics
13367	How do you interpret P value and R Squared
13368	What is r in machine learning
13369	Can I use R for machine learning
13370	How do you calculate misclassification in R
13371	How is keras different from TensorFlow
13372	Is keras a TensorFlow
13373	Why we use supervised machine learning
13374	What is kernel in machine learning
13375	How is a weighted score model calculated
13376	How do I calculate a weighted test
13377	What is symbol based machine learning
13378	What is Eigen value
13379	What is sparsity in image processing
13380	What is gradient in machine learning
13381	How do you write a covariance matrix
13382	How data is used in machine learning
13383	What is data in machine learning
13384	What is K in binomial distribution
13385	How do you find K in binomial distribution
13386	What is r in negative binomial distribution
13387	How do you find the inverse of a transformation
13388	What is inverse transformation explain with an example
13389	How do you translate inverse functions
13390	What is the inverse of a transformation matrix
13391	How do I load Iris dataset from Sklearn
13392	How does Matlab solve optimization problems
13393	What is Matlab and how it works
13394	What are codes categories and themes in qualitative research
13395	What are codes in data analysis
13396	What does NIST stand for
13397	What is a NIST security assessment
13398	How do you do linear regression on Excel
13399	What are the methods for solving linear regression
13400	Is linear regression A graphic method
13401	How do you find the linear equation in Excel
13402	What is AI coded in
13403	How do you create an artificial intelligence
13404	Is coding required for artificial intelligence
13405	What real world applications are there for logarithms
13406	What is an example of a logarithmic function
13407	What are some applications of exponential functions
13408	What is actuator in AI
13409	What is a linear kernel
13410	How do you select important variables in Python
13411	What is feature selection in Python
13412	What is linear and non linear regression
13413	Can we model a non linear relationship with a linear regression
13414	How do you find a nonlinear regression equation
13415	What situations are best modeled by a logistic equation
13416	Why is RELU better and more often used than sigmoid in neural networks
13417	Which method is the method of interpolation and extrapolation
13418	Which method can be used in any question of interpolation
13419	What is interpolation numerical method
13420	What does relative frequency tell you
13421	What is a shift in data
13422	What are the two types of construct validity
13423	What is an example of a collaborative filtering application
13424	Which of following test statistics is used in Wilcoxon rank sum test
13425	What is the standard deviation of normal distribution
13426	What is the variance of a uniform distribution
13427	Why would a uniform distribution have a larger standard deviation than a normal distribution
13428	Which type of dataset is used for logistic regression
13429	What are the three types of data that are used in regression
13430	What are marginals
13431	How do you find the margin of error given the confidence interval
13432	How is the margin of error related to the confidence interval
13433	How do you do sentiment analysis on Twitter data
13434	How do you get data from a sentiment analysis
13435	How is sentiment analysis done
13436	What are the key differences between univariate and multivariate analysis
13437	What is dropout in deep learning
13438	What is at test used for
13439	What is the difference between AZ test and at test
13440	How does a calibration curve work
13441	What does calibration mean
13442	How do you make a calibration curve
13443	What is the loss function for random forest
13444	Does random forest fall under unsupervised learning
13445	Does batch normalization have trainable parameters
13446	What is the use of batch normalization
13447	How many parameters does a batch normalization layer
13448	What is gamma and beta in batch normalization
13449	How do you find the sensitivity of a confusion matrix
13450	What is test sensitivity
13451	How does a machine learning model learn
13452	What does a machine learning model do
13453	What is mAP for object detection
13454	How do I get started with algorithms
13455	What is needed to learn algorithms
13456	Why cosine distance is always in the range between 0 and 1
13457	What is the definition of cosine
13458	What is quantile function in statistics
13459	What is the distribution of a random variable
13460	What is the mean of the random variable X
13461	What is the distribution of X
13462	Can RMS be equal to the average
13463	What is PAC model
13464	What is a knowledge based system explain
13465	Which system can be seen as knowledge based system
13466	How do you develop a knowledge based system
13467	Is exponential distribution discrete
13468	What is the P value method
13469	What are the different types of statistical test
13470	What does the Z value mean in Wilcoxon test
13471	How do you find the critical value for Wilcoxon rank sum test
13472	What is the ending of Bandish bandits
13473	Who is the voice of Radhe in Bandish bandits
13474	What do the coefficients in a multiple regression mean
13475	Why do regression coefficients have wrong signs
13476	How does the interpretation of the regression coefficients differ in multiple regression and simple linear regression
13477	Why adding more variables to a regression model
13478	Is omitted variable bias Endogeneity
13479	What is CNN output layer
13480	What does the one sample chi square test determine
13481	What does an odds ratio of 0.80 mean
13482	What software is used for artificial intelligence
13483	What factors influence the size of the receptive field
13484	What is effective receptive field
13485	What is the relationship between the accuracy and uncertainty of a measurement quizlet
13486	What is accuracy in measurement
13487	What does uncertainty in measurement mean
13488	What is the similarity between accuracy and precision
13489	What does it mean if a regression is not significant
13490	What does the intercept of a regression tell
13491	What does a statistically significant intercept mean
13492	How is classification error rate calculated
13493	What is classification problem in machine learning
13494	Do Neural networks use gradient descent
13495	What is meant by serial correlation
13496	What is a variable in a qualitative study
13497	Do qualitative studies have variables
13498	What is considered a qualitative study
13499	What is parameter learning
13500	What is data level parallelism give example
13501	How does data parallelism algorithm work
13502	Does the least squares regression line pass through the mean
13503	When regression line passes through the origin then intercept is
13504	What is meant by system simulation
13505	How do you know if two events are dependent
13506	What is Kafka data streaming
13507	What does K defines in K NN algorithm
13508	How are transits and orbits related
13509	What is the relationship between orbital period and distance from the star
13510	What is transit depth
13511	What is data outlier
13512	What is convolutional layer in CNN
13513	What is the use of convolution layer
13514	How do you identify patterns
13515	How do you develop a pattern recognition
13516	What part of the brain sees patterns
13517	What is inter cluster and intra cluster similarity
13518	What is inter cluster
13519	What is sift feature extraction
13520	What is feature descriptor
13521	What are the steps for conducting a regression analysis
13522	How do you analyze a regression model
13523	How do you interpret AUC scores
13524	How do you find the eigenvectors of a matrix
13525	What are eigenvalues and eigenvectors of a matrix
13526	How is R Squared calculated
13527	What is r squared value
13528	What is Bayesian inference used for
13529	What is posterior and prior
13530	What is expected deviation rate
13531	What is the relationship between sample size and sampling error
13532	What is the relationship between sampling error and sample size quizlet
13533	What is the relationship between margin of error confidence interval and sample size
13534	What is the difference between discrete and continuous distributions
13535	How do you create a training set
13536	How do you sample a distribution
13537	How do you find the probability of a sampling distribution
13538	How do you calculate probability sampling
13539	How do you find the value of TensorFlow variable
13540	How do you predict using TensorFlow model
13541	Why are larger sample sizes more accurate
13542	How does sample size impact results of a study
13543	How does a small sample size affect reliability
13544	How do you build a neural network model
13545	How do I make CNN TensorFlow
13546	What are data anomalies
13547	Which clustering method is best
13548	What is a normal distribution curve in statistics
13549	What is normality distribution
13550	How do you draw a normal distribution curve
13551	How do you explain integration
13552	How do you determine a large population sample size
13553	What causes response bias
13554	Why are mean and median different
13555	What is the difference mean and median
13556	Do decision trees have high bias
13557	Are decision trees sensitive to outliers
13558	Are decision trees interpretable
13559	Why is stratified sampling better
13560	What are the disadvantages of simple random sampling
13561	Why is feature normalization important
13562	What is normalization and why do we use it
13563	What are AI problems
13564	What are the fears of AI
13565	Why AI is a threat
13566	What is conjoint analysis
13567	What is choice based conjoint analysis
13568	Why is the F distribution used for the analysis of variance Anova )
13569	Is gradient descent technique for solving optimization problem
13570	Does more data make for a better model
13571	How do you train a dataset
13572	How do you find the optimal threshold
13573	Is probability threshold in logistic regression a Hyperparameter
13574	How do you find the expected value of a discrete probability distribution
13575	How do you find the expected value of a distribution
13576	How do you calculate expected discrete
13577	What does it mean if the expected value is 0
13578	What is self awareness in artificial intelligence
13579	What is a valid effect in statistics
13580	How do you validate a statistical question
13581	How statistics can be misleading
13582	How can numbers and statistics be misleading
13583	Why can the measure of the mean of the data be misleading
13584	How can data be misinterpreted
13585	What is logit function in logistic regression
13586	What is the range of the logit function
13587	What's the difference between NLP and NLU
13588	How do you find the sampling distribution in statistics
13589	Is Association rules mining used in recommender systems approach
13590	What is meant by an association rule
13591	Which algorithm is best for recommender system
13592	Is a neural network linear
13593	What is linear layer in neural network
13594	How does NLU work in AI
13595	What is anomaly detection algorithms
13596	Which of the following fields can Anomaly Detection be applied
13597	How is clustering used in anomaly detection
13598	What do you say when comparing box plots
13599	Which of the following is a difference between the T distribution and the standard normal Z distribution
13600	What is hashing algorithm and explain briefly how it works
13601	What are the types of hashing algorithm
13602	What is the best hashing algorithm
13603	What is the slope of the regression line
13604	Is the R value the slope
13605	What is R in a regression line
13606	Is the correlation coefficient The slope of the regression line
13607	What is the value of partial autocorrelation function of lag order 1
13608	What do you mean by temporal classification
13609	What is quantitative classification
13610	What is CTC in machine learning
13611	How does transfer learning works
13612	What is chunking in Python
13613	What does NLTK Pos_tag do
13614	What is the objective of hashing
13615	What is meant by the law of large numbers
13616	What is the law of large numbers chegg
13617	Why do we use geometric distribution
13618	How can I remove noisy data
13619	What causes noise in data communication
13620	What is the difference between noise and outliers
13621	How does noisy data influence accuracy
13622	What is sampling frequency in ADC
13623	How do you calculate sample sampling frequency
13624	How does ADC sampling work
13625	What are the matching type that birst employs while searching data in cache
13626	How does caching work in searching for information
13627	What are the limitations of multiple regression analysis
13628	How do you differentiate a logistic function
13629	What determines logistic growth
13630	What is the limiting value of a logistic function
13631	How do you solve logistic growth function
13632	What are deep learning frameworks
13633	Which deep learning framework should I learn
13634	Is PyTorch a deep learning framework
13635	What is deep learning useful for
13636	Should I learn deep learning
13637	What is multi class SVM
13638	What is convolution and correlation
13639	What is a correlation filter
13640	What is the difference between correlation and cross correlation
13641	What is a good Altman Z score
13642	Is Altman Z score useful
13643	What does a negative Altman Z score mean
13644	How do you find normal probability
13645	What is classification and prediction in data mining
13646	What is the meaning of mean and standard deviation
13647	How do you find marginal density
13648	What is the marginal probability density function
13649	How do you find the marginal probability function
13650	What does IID stand for police
13651	How do implicit bias tests work
13652	How accurate is the implicit bias test
13653	What test checks for implicit bias
13654	How do you measure implicit attitude
13655	Which is better for screening sensitivity or specificity
13656	What is sensitivity
13657	Which of the following are Treisman's two stages of feature integration
13658	What is the difference between R Squared and adjusted R squared
13659	What is a good value for adjusted R squared
13660	What is activation function Ann
13661	What is hypothesis in machine learning
13662	What is the difference between a variable and a parameter
13663	What is the difference between a field and a local variable
13664	What is nonresponse bias in statistics
13665	What is an example of undercoverage bias
13666	What happens if the learning rate is too high
13667	How does batch size affect Overfitting
13668	How do you interpret logistic regression coefficients in SPSS
13669	What does log mean in regression
13670	Why do we take natural log of data
13671	When should you optimize code
13672	Is categorical data numeric or nonnumeric
13673	What is OLS mean
13674	Which algorithm is used in layered feed forward neural network
13675	Is it possible to design a logistic regression algorithm using a neural network algorithm
13676	What is n gram language model
13677	Is SRE and DevOps same
13678	What does SRE stand for in DevOps
13679	Why do we need tokenization in NLP
13680	What does a convolution do
13681	How do you know if a variable is exogenous
13682	What is the difference between a parameter and a variable
13683	Is exogenous variable the same as independent variable
13684	How does sift achieve scale invariance
13685	How do you solve stratified random sampling
13686	How many stratas are in stratified sampling
13687	Is affine function linear
13688	Is affine transformation linear
13689	How is Ancova different from Anova
13690	What assumption does Ancova have that Anova does not
13691	What is univariate and bivariate analysis
13692	What is the univariate concept
13693	What is class limit and class boundary
13694	How do you find the class limit of data
13695	What is meant by convolution
13696	What is the convolution theorem in image processing
13697	How do you find the intercept of b0
13698	How do you interpret b0 in regression
13699	What does Beta 0 and beta 1 represent in linear regression
13700	Is Markov process stationary
13701	Is unit step function causal
13702	Is the unit step function continuous
13703	Is unit step function linear
13704	What is feature map in CNN
13705	How do you do a two tailed test
13706	When would you use a two tailed test
13707	What is Matlab coded in
13708	What are weights and biases in neural network
13709	How do you add bias to a neural network
13710	What is map in machine learning
13711	What is Bayes theorem and maximum posterior hypothesis
13712	What does standard error depend on
13713	What affects the standard error of the regression slope
13714	How do you interpret the standard error of the mean
13715	What are the advantages of exponential smoothing
13716	When using exponential smoothing a smoothing constant must be used the value for
13717	What are the distinguishing features of simple random sampling
13718	What is the purpose for using a model in regression analysis
13719	How is regression analysis used in real life
13720	What is a false positive in it
13721	What is a false positive called
13722	Is the least squares regression line the same as the regression line
13723	What is decision tree in machine learning with example
13724	What does K mean in data
13725	How do you find the mean from a frequency table
13726	How do you find the range of a frequency table with intervals
13727	How do you know if a 3d vector field is conservative
13728	How do you determine if a vector field is a gradient field
13729	What is conservative field give example
13730	What is conservative force field
13731	How do you find greater than cumulative frequency
13732	What is a less than cumulative frequency curve
13733	What is the z score for the third quartile of a standard normal distribution
13734	What percentage of a distribution is covered by the interquartile range
13735	What is algorithmic model
13736	What is meant by model in machine learning
13737	Why do we use standardized regression coefficients
13738	What does the standardized coefficient tell you
13739	Should I use standardized or unstandardized coefficients
13740	Is standardization required for linear regression
13741	Is there a difference between AI and robots
13742	Does robots use artificial intelligence
13743	How do AI robots work
13744	Is P value of 0.07 Significant
13745	What does P value of 0.8 mean
13746	How do you reduce the sum of squared errors
13747	Is binary search a divide and conquer algorithm
13748	How do you identify greedy algorithm
13749	What is the difference between backpropagation algorithm and backpropagation Throughtime Bptt algorithm
13750	What is CAC ratio
